종목명,종목영문명,해당등급,사용여부,해당등급등록일,종목등록일,입고대상여부,시행여부
도자기공예기능사,Craftsman Pottery Handicraft,기능사,Y,14/06/23,14/06/23,Y,현재시행
제강기능사보,Assistant Craftsman Steel Making (Convertering),기능사보,N,14/06/23,14/06/23,N,폐지+유지
산업기계정비기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
발전기계설비기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
유독물취급기능사,Craftsman Poisonous Material Handling,기능사,Y,14/06/23,14/06/23,N,폐지+유지
고압합성기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
타출판금기능사보,Assistant Craftsman Impact Extrusion Sheet Metal,기능사보,N,14/06/23,14/06/23,N,폐지+유지
건축재료시험기능사보,Assistant Craftsman Architectural Material Testing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
자동차판금기능사보,Assistant Craftsman Auto Sheet Metal,기능사보,N,14/06/23,14/06/23,N,폐지+유지
제관기능사보,Assistant Craftsman Boiler Making,기능사보,N,14/06/23,14/06/23,N,폐지+유지
철골구조물기능사보,Assistant Craftsman Steel Structure,기능사보,N,14/06/23,14/06/23,N,폐지+유지
배관기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
배관기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
배관기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
건축배관기능사보,Assistant Craftsman Plumbing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
도자기제조기능사보,Assistant Craftsman Pottery Manufacturing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
유리제조기능사보,Assistant Craftsman Glass Manufacturing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
고무제품제조기능사보,Assistant Craftsman Rubber Product Manufacturing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
타자기수리기능사,Craftsman Typewriter Repair,기능사,Y,14/06/23,14/06/23,N,폐지+유지
제강기능사보,Assistant Craftsman Steel Making (Ingot Making),기능사보,N,14/06/23,14/06/23,N,폐지+유지
조주기능사,Craftsman Bartender,기능사,Y,14/06/23,14/06/23,Y,현재시행
제강기능사보,Assistant Craftsman Steel Making (Continuous Casting),기능사보,N,14/06/23,14/06/23,N,폐지+유지
코크스기능사보,Assistant Craftsman Coke Making,기능사보,N,14/06/23,14/06/23,N,폐지+유지
원형기능사보,Assistant Craftsman Pattern Making,기능사보,N,14/06/23,14/06/23,N,폐지+유지
압연기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
열간압연기능사보,Assistant Craftsman Hot Rolling,기능사보,N,14/06/23,14/06/23,N,폐지+유지
냉간압연기능사보,Assistant Craftsman Cold Rolling,기능사보,N,14/06/23,14/06/23,N,폐지+유지
단조기능사보,Assistant Craftsman Forging,기능사보,N,14/06/23,14/06/23,N,폐지+유지
광산기계기능사보,Assistant Craftsman Mining Apparatus,기능사보,N,14/06/23,14/06/23,N,폐지+유지
주물조형기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
주조기능사보,Assistant Craftsman Casting,기능사보,N,14/06/23,14/06/23,N,폐지+유지
주강조형기능사보,Assistant Craftsman Steel Molding,기능사보,N,14/06/23,14/06/23,N,폐지+유지
유기합성기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
중식조리기능사,"Craftsman Cook, Chinese Food",기능사,Y,14/06/23,14/06/23,Y,현재시행
복어조리기능사,"Craftsman Cook, Blowfish",기능사,Y,14/06/23,14/06/23,Y,현재시행
사진기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
제강기능사보,Assistant Craftsman Steel Making (Electric Futnace),기능사보,N,14/06/23,14/06/23,N,폐지+유지
축로기능사보,Assistant Craftsman Furnace Construction,기능사보,N,14/06/23,14/06/23,N,폐지+유지
2급조리사,,기능사,Y,14/06/23,14/06/23,N,폐지
전기도금기능사보,Assistant Craftsman Electric Plating,기능사보,N,14/06/23,14/06/23,N,폐지+유지
특수도금기능사보,Assistant Craftsman Special Plating,기능사보,N,14/06/23,14/06/23,N,폐지+유지
제선기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
제선기능사보,Assistant Craftsman Iron Making (Blast Furnace),기능사보,N,14/06/23,14/06/23,N,폐지+유지
제선기능사보,Assistant Craftsman Iron Making (Sintering),기능사보,N,14/06/23,14/06/23,N,폐지+유지
담배원료가공기능사보,Assistant Craftsman Tobacco Prepare,기능사보,N,14/06/23,14/06/23,N,폐지+유지
궐련제조기능사보,Assistant Craftsman Cigarette Making,기능사보,N,14/06/23,14/06/23,N,폐지+유지
피아노조율기능사,Craftsman Piano Tuner,기능사,Y,14/06/23,14/06/23,Y,현재시행
이용사,Barber,기능사,Y,14/06/23,14/06/23,Y,현재시행
가눈섭기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
한식조리 기능사,"Craftsman Cook, Korean Food",기능사,Y,14/06/23,14/06/23,Y,현재시행
양식조리기능사,"Craftsman Cook, Western Food",기능사,Y,14/06/23,14/06/23,Y,현재시행
일식조리기능사,"Craftsman Cook, Japanese Food",기능사,Y,14/06/23,14/06/23,Y,현재시행
신발류제조기능사,Craftsman Shoe,기능사,Y,14/06/23,14/06/23,Y,현재시행
제책기능사,Craftsman Book Binding,기능사,Y,14/06/23,14/06/23,N,폐지+유지
인형기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
인발기능사보,Assistant Craftsman Drawing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
객화차정비기능사보,Assistant Craftsman Train Maintenance,기능사보,N,14/06/23,14/06/23,N,폐지+유지
사리채취기운전기능사,Craftsman Gravel Plant Operator,기능사,Y,14/06/23,14/06/23,N,폐지
담배제조기계기능사보,Assistant Craftsman Tobacco Making Machinery,기능사보,N,14/06/23,14/06/23,N,폐지+유지
자동차전기정비기능사보,Assistant Craftsman Motor-Vehicle Electricity Maintenance,기능사보,N,14/06/23,14/06/23,N,폐지+유지
중기정비기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
철도동력차전기정비기능사보,Assistant Craftsman Locomotive Power Train Electricity,기능사보,N,14/06/23,14/06/23,N,폐지+유지
편물기능사(기계편물),Craftsman Knitting(Machine Knitting),기능사,Y,14/06/23,14/06/23,N,폐지+유지
보일러시공기능사,Craftsman Boiler Installation,기능사,Y,14/06/23,14/06/23,N,폐지
화공기계기능사,Craftsman Chemical Industrial Machinery,기능사,Y,14/06/23,14/06/23,N,폐지+유지
주조조판기능사,Craftsman Type Casting and Composing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
제판기능사,Craftsman Plate Making (Relief Printing),기능사,Y,14/06/23,14/06/23,N,폐지+유지
문선식자기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
문선식자기능사,Craftsman Typo Composing (typo),기능사,Y,14/06/23,14/06/23,N,폐지+유지
문선식자기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
공업계측제어기능사,Craftsman Industrial Instrumentation and Control,기능사,Y,14/06/23,14/06/23,N,폐지+유지
영사기능사,Craftsman Projection,기능사,Y,14/06/23,14/06/23,Y,현재시행
양복재단기능사2급,Class Ⅱ Craftsman Tailor Cutting,기능사,Y,14/06/23,14/06/23,N,폐지
양복봉재기능사2급,Class Ⅱ Craftsman Tailor Sewing (Needle Work),기능사,Y,14/06/23,14/06/23,N,폐지
공기조화기능사보,Assistant Craftsman Air Conditioning,기능사보,N,14/06/23,14/06/23,N,폐지+유지
초상사진기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
직기조정기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
사진제판기능사2급(전산사진식자),Class Ⅱ Craftsman Photography Plate Making                 (Computer Photo Composition),기능사,Y,14/06/23,14/06/23,N,폐지
옵셋제판기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
지형연판기능사,Craftsman Matrix and Stereotype,기능사,Y,14/06/23,14/06/23,N,폐지+유지
인쇄기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
인쇄기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
인쇄기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
인쇄기능사,Craftsman Printing (Relief Printing),기능사,Y,14/06/23,14/06/23,N,폐지+유지
방적기능사,Craftsman Spinning,기능사,Y,14/06/23,14/06/23,N,폐지+유지
옵셋제판기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
옵셋제판기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
옵셋제판기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
광산보안기능사,,기능사,Y,14/06/23,14/06/23,N,폐지
홍삼제조기능사,Craftsman Red Ginseng Processing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
냉동식품제조기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
교환설비기능사2급,Class Ⅱ Craftsman Telephone Switchboard Installation,기능사,Y,14/06/23,14/06/23,N,폐지
콘크리트기능사,Craftsman Concrete,기능사,Y,14/06/23,14/06/23,Y,현재시행
방송통신기능사,Craftsman Broadcasting Communication,기능사,Y,14/06/23,14/06/23,N,해당사항없음
인판공예기능사,Craftsman Carving Handicraft,기능사,Y,14/06/23,14/06/23,N,폐지+유지
컴퓨터활용능력2급,Computer Specialist in Spreadsheet & Database Level-Ⅱ,2급,Y,14/06/23,14/06/23,N,현재시행
한복기능사,Craftsman Korean traditional costume,기능사,Y,14/06/23,14/06/23,Y,현재시행
궐련제조기계정비기능사,Craftsman Cigarette Making Machine Maintenance,기능사,Y,14/06/23,14/06/23,N,폐지+유지
담배포장기계정비기능사,Craftsman Tobacco Packing Machine Maintenance,기능사,Y,14/06/23,14/06/23,N,폐지+유지
선체의장기능사,Craftsman Hull Outfitting,기능사,Y,14/06/23,14/06/23,N,폐지
광산보안기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
광산보안기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
섬유제도디자인기능사,Craftsman Textile Drawing and Design,기능사,Y,14/06/23,14/06/23,N,폐지+유지
굴착기능사2급,Class Ⅱ Craftsman Underground Excavation,기능사,Y,14/06/23,14/06/23,N,폐지
시추기능사,Craftsman Boring,기능사,Y,14/06/23,14/06/23,Y,현재시행
전화교환기능사,Craftsman Telephone Operator,기능사,Y,14/06/23,14/06/23,N,폐지+유지
선체건조기능사,Craftsman Hull Construction,기능사,Y,14/06/23,14/06/23,Y,현재시행
물리탐광기능사,Craftsman Physical Prospecting,기능사,Y,14/06/23,14/06/23,N,폐지+유지
선광기능사,Craftsman Ore-Dressing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
컴퓨터활용능력1급,Computer Specialist in Spreadsheet & Database Level-Ⅰ,1급,Y,14/06/23,14/06/23,N,현재시행
침투비파괴검사기능사,Craftsman Penetrate Nondestructive Testing,기능사,Y,14/06/23,14/06/23,Y,현재시행
염색기능사(날염),Craftsman Textile Printing,기능사,Y,14/06/23,14/06/23,Y,현재시행
반도체설계기사,Engineer Semiconductor Design,기사,Y,14/06/23,14/06/23,N,현재시행
석공기능사,Craftsman Stone Work,기능사,Y,14/06/23,14/06/23,Y,현재시행
토목재료시험기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
철도토목기능사,Craftsman Track Maintenance,기능사,Y,14/06/23,14/06/23,Y,현재시행
전파전자기능사,,기능사,Y,14/06/23,14/06/23,N,폐지
전자계산기기능사,Craftsman Computer,기능사,Y,14/06/23,14/06/23,Y,현재시행
화학분석기능사,Craftsman Chemical Analysis,기능사,Y,14/06/23,14/06/23,Y,현재시행
화학분쇄혼합기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
인발기능사,Craftsman Drawing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
제직기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
침염기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
제직기능사2급,Class Ⅱ Craftsman Weaving,기능사,Y,14/06/23,14/06/23,N,폐지
염색기능사(침염),Craftsman Dip Printing,기능사,Y,14/06/23,14/06/23,Y,현재시행
정보처리기능사,Craftsman Information Processing,기능사,Y,14/06/23,14/06/23,Y,현재시행
인쇄통신기능사,Craftsman Tele-Printing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
무선설비기능사,Craftsman Radio Telecommunication Equipment,기능사,Y,14/06/23,14/06/23,N,해당사항없음
전파통신기능사,Craftsman Radio Communication,기능사,Y,14/06/23,14/06/23,N,폐지
직물가공기능사,Craftsman Textile Fabric Finishing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
제직기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
전자기기기능사,Craftsman Electronic Apparatus,기능사,Y,14/06/23,14/06/23,Y,현재시행
기와기능사,Craftsman Roof Tile Work,기능사,Y,14/06/23,14/06/23,N,폐지+유지
함석기능사,Craftsman Galvanized Iron-Sheet Work,기능사,Y,14/06/23,14/06/23,N,폐지+유지
타일기능사,Craftsman Tile Laying,기능사,Y,14/06/23,14/06/23,Y,현재시행
방사기능사,Craftsman Artificial Fibre Spinning,기능사,Y,14/06/23,14/06/23,N,폐지+유지
방적기보전기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
방적기조정기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
건축도장기능사,Craftsman Architectural Painting,기능사,Y,14/06/23,14/06/23,Y,현재시행
석공예기능사,Craftsman Stone Handicraft,기능사,Y,14/06/23,14/06/23,Y,현재시행
전자계산기조작기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
정련표백기능사2급,Class Ⅱ Craftsman Scouring and Bleaching,기능사,Y,14/06/23,14/06/23,N,폐지
직기조정기능사,Craftsman Weaving Machine Control,기능사,Y,14/06/23,14/06/23,N,폐지+유지
도배기능사,Craftsman Wall Papering,기능사,Y,14/06/23,14/06/23,Y,현재시행
화학반응기기조작기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
전기공사기능사,Craftsman Electric Work,기능사,Y,14/06/23,14/06/23,N,폐지
전기철도기능사,Craftsman Electric Railway,기능사,Y,14/06/23,14/06/23,N,폐지
음향영상기기기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
염색기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
고압가스화학기능사2급,Class Ⅱ Craftsman High-Pressure Gas Chemistry,기능사,Y,14/06/23,14/06/23,N,폐지
귀금속가공기능사,Craftsman Precious Metal Processing,기능사,Y,14/06/23,14/06/23,Y,현재시행
발전설비기능사2급,Class Ⅱ Craftsman Electric Power Generating Facilities,기능사,Y,14/06/23,14/06/23,N,폐지
전기기기(1)기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
전기기기(2)기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
유리시공기능사,Craftsman Glazier,기능사,Y,14/06/23,14/06/23,Y,현재시행
부기1급,,1급,Y,14/06/23,14/06/23,N,폐지
부기2급,,2급,Y,14/06/23,14/06/23,N,폐지
컴퓨터활용능력3급,,3급,N,14/06/23,14/06/23,N,폐지
주산5급,,5급,N,14/06/23,14/06/23,N,폐지
실내건축기능사,Craftsman Interior Architecture,기능사,Y,14/06/23,14/06/23,Y,현재시행
구들온돌기능사2급,Class Ⅱ Craftsman Fire Heating Ondol,기능사,Y,14/06/23,14/06/23,N,폐지
거푸집기능사,Craftsman Forms,기능사,Y,14/06/23,14/06/23,Y,현재시행
비계기능사,Craftsman Scaffolding,기능사,Y,14/06/23,14/06/23,Y,현재시행
담배재건조기계정비기능사,Craftsman Tobacco Re-Drying Machine Maintenance,기능사,Y,14/06/23,14/06/23,N,폐지+유지
와전류비파괴검사기능사,Craftsman Eddy Current Nondestructive Testing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
비파괴검사기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
화약류제조기능사,Craftsman Explosives Manufacturing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
금속도장기능사,Craftsman Metal Coating Hanging,기능사,Y,14/06/23,14/06/23,Y,현재시행
금속공예기능사,Craftsman Metal Handicraft,기능사,Y,14/06/23,14/06/23,N,폐지+유지
담배재건조기능사,Craftsman Tobacco Re-Drying,기능사,Y,14/06/23,14/06/23,N,폐지+유지
광산보안기능사(채광분야),Craftsman Mining Safety(Mining),기능사,Y,14/06/23,14/06/23,N,폐지
방사선비파괴검사기능사,Craftsman Radiation Nondestructive Testing,기능사,Y,14/06/23,14/06/23,Y,현재시행
광학기능사,Craftsman Optics,기능사,Y,14/06/23,14/06/23,Y,현재시행
지도제작기능사,Craftsman Mapping,기능사,Y,14/06/23,14/06/23,Y,현재시행
담배원료가공기계정비기능사,Craftsman Tobacco Preparing Machine Maintenance,기능사,Y,14/06/23,14/06/23,N,폐지+유지
초음파비파괴검사기능사,Craftsman Ultrasonic Nondestructive Testing,기능사,Y,14/06/23,14/06/23,Y,현재시행
수편기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
수자수기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
기계자수기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
나전칠기기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
패세공기능사,Craftsman Mother of Pearl Work,기능사,Y,14/06/23,14/06/23,N,폐지+유지
목질재료기능사,Craftsman Woods Material,기능사,Y,14/06/23,14/06/23,N,폐지
건설재료시험기능사,Craftsman Construction Material Testing,기능사,Y,14/06/23,14/06/23,Y,현재시행
가구제작기능사,Craftsman Furniture Making,기능사,Y,14/06/23,14/06/23,Y,현재시행
유선설비기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
광산보안기능사(기계분야),,기능사,Y,14/06/23,14/06/23,N,폐지
건설기계차체정비기능사보,Assistant Craftsman Construction Equipment Chasis Maintenance,기능사보,N,14/06/23,14/06/23,N,폐지+유지
등죽세공예기능사,Craftsman Rattan Bamboo Handicraft,기능사,Y,14/06/23,14/06/23,N,폐지+유지
농업기계기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
농기계운전기능사보,Assistant Craftsman Farm Machinery Operator,기능사보,N,14/06/23,14/06/23,N,폐지+유지
고압가스기계기능사보,Assistant Craftsman High-Pressure Gas Machinery,기능사보,N,14/06/23,14/06/23,N,폐지+유지
전기용접기능사보,Assistant Craftsman Electric Welding,기능사보,N,14/06/23,14/06/23,N,폐지+유지
가스용접기능사보,Assistant Craftsman Gas Welding,기능사보,N,14/06/23,14/06/23,N,폐지+유지
기편기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
광산기계설치기능사,Craftsman Mining Machine Installing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
광산기계기능사,Craftsman Mining Apparatus,기능사,Y,14/06/23,14/06/23,N,폐지+유지
광산기계운전및수리기능사,Craftsman Mining Machine Operation and Maintenance,기능사,Y,14/06/23,14/06/23,N,폐지+유지
광산차량기계운전기능사,Craftsman Mine Machine Operator,기능사,Y,14/06/23,14/06/23,N,폐지
광산환경기능사,Craftsman Mine Environmental,기능사,Y,14/06/23,14/06/23,N,폐지
선체가공기능사2급,Class Ⅱ Craftsman Hull Manufacturing,기능사,Y,14/06/23,14/06/23,N,폐지
조선기계절단기능사,Craftsman Shipbulding Metal Cutting,기능사,Y,14/06/23,14/06/23,N,폐지+유지
스크레이퍼운전기능사,Craftsman Scraper Operator,기능사,Y,14/06/23,14/06/23,N,폐지
양장기능사,Craftsman Dress Making,기능사,Y,14/06/23,14/06/23,N,폐지+유지
양화장치운전기능사보,Assistant Craftsman Loading Equipment Operator,기능사보,N,14/06/23,14/06/23,N,폐지+유지
시계수리기능사보,Assistant Craftsman Watch Repair,기능사보,N,14/06/23,14/06/23,N,폐지+유지
조경기능사,Craftsman Landscape Architecture,기능사,Y,14/06/23,14/06/23,Y,현재시행
자동차기관정비기능사보,Assistant Craftsman Motor-Vehicle Engine Maintenance,기능사보,N,14/06/23,14/06/23,N,폐지+유지
특수용접기능사보,Assistant Craftsman Inert Gas Arc Welding,기능사보,N,14/06/23,14/06/23,N,폐지+유지
정밀측정기능사보,Assistant Craftsman Precision Finishing (Finishing),기능사보,N,14/06/23,14/06/23,N,폐지
일반판금기능사보,Assistant Craftsman Sheet Metal,기능사보,N,14/06/23,14/06/23,N,폐지+유지
채소재배기능사,Craftsman Vegetable Cultivation,기능사,Y,14/06/23,14/06/23,N,폐지
과수재배기능사,Craftsman Fruit Cultivation,기능사,Y,14/06/23,14/06/23,N,폐지
제과기능사,Craftsman Confectionary Making,기능사,Y,14/06/23,14/06/23,Y,현재시행
카일렉트로닉스기능사,Craftsman Car Electronics,기능사,Y,14/06/23,14/06/23,N,폐지+유지
양복기능사,Craftsman Tailoring,기능사,Y,14/06/23,14/06/23,N,폐지+유지
송배전설비기능사2급,Class Ⅱ Craftsman Transmission and Distribution Equipment,기능사,Y,14/06/23,14/06/23,N,폐지
가구도장기능사,Craftsman Furniture Painting,기능사,Y,14/06/23,14/06/23,N,폐지
광고도장기능사,Craftsman Advertisement Painting,기능사,Y,14/06/23,14/06/23,Y,현재시행
보석가공기능사,Craftsman Lapidary,기능사,Y,14/06/23,14/06/23,Y,현재시행
화훼재배기능사,Craftsman Flori Cultivation,기능사,Y,14/06/23,14/06/23,N,폐지
자동차새시정비기능사보,Assistant Craftsman Motor-Vehicle Chassis Maintenance,기능사보,N,14/06/23,14/06/23,N,폐지+유지
보오링기능사보,Assistant Craftsman Boring,기능사보,N,14/06/23,14/06/23,N,폐지+유지
지게차운전기능사,Craftsman Fork Lift Truck Operator,기능사,Y,14/06/23,14/06/23,Y,현재시행
정밀측정기능사보,Assistant Craftsman Precision Finishing (Lathe),기능사보,N,14/06/23,14/06/23,N,폐지
정밀측정기능사보,Assistant Craftsman Precision Finishing (Milling),기능사보,N,14/06/23,14/06/23,N,폐지
정밀측정기능사보,Assistant Craftsman Precision Finishing (Grinding),기능사보,N,14/06/23,14/06/23,N,폐지
선반기능사보,Assistant Craftsman Lathe,기능사보,N,14/06/23,14/06/23,N,폐지+유지
형평삭기능사보,Assistant Craftsman Shaper and Planer,기능사보,N,14/06/23,14/06/23,N,폐지+유지
밀링기능사보,Assistant Craftsman Milling,기능사보,N,14/06/23,14/06/23,N,폐지+유지
식품기계기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
계량기능사2급(2류),,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(3류),,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(4류),,기능사,Y,14/06/23,14/06/23,N,폐지
도화기능사,Craftsman Drawing Technical Illustration,기능사,Y,14/06/23,14/06/23,Y,현재시행
자수기능사(수자수),,기능사,Y,14/06/23,14/06/23,N,폐지+유지
시멘트제조기능사,Craftsman Cement Manufacturing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
변전설비기능사2급,Class Ⅱ Craftsman Voltage Transformation Equipment,기능사,Y,14/06/23,14/06/23,N,폐지
콘크리트믹서운전기능사,Craftsman Concrete Mixer Operator,기능사,Y,14/06/23,14/06/23,N,폐지+유지
다듬질기능사보,Assistant Craftsman Finishing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
기어절삭기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
통신기기기능사,Craftsman Communication Apparatus,기능사,Y,14/06/23,14/06/23,N,해당사항없음
연삭기능사보,Assistant Craftsman Grinding,기능사보,N,14/06/23,14/06/23,N,폐지+유지
공구제작기능사보,Assistant Craftsman Tool Making,기능사보,N,14/06/23,14/06/23,N,폐지+유지
프레스금형기능사보,Assistant Craftsman Press Die,기능사보,N,14/06/23,14/06/23,N,폐지+유지
사출금형기능사보,Assistant Craftsman Extrusion Die,기능사보,N,14/06/23,14/06/23,N,폐지+유지
양장재단기능사2급,Class Ⅱ Craftsman Ladies Dress Cutting,기능사,Y,14/06/23,14/06/23,N,폐지
덤프트럭운전기능사,Craftsman Dumptruck Driver,기능사,Y,14/06/23,14/06/23,N,폐지+유지
롤러운전기능사,Craftsman Road Roller Operator,기능사,Y,14/06/23,14/06/23,Y,현재시행
모터그레이더운전기능사,Craftsman Motor Grader Operator,기능사,Y,14/06/23,14/06/23,Y,현재시행
양장봉재기능사2급,Class Ⅱ Craftsman Ladies Dress Sewing,기능사,Y,14/06/23,14/06/23,N,폐지
양화장치운전기능사,Craftsman Loading Equipment Operator,기능사,Y,14/06/23,14/06/23,Y,현재시행
승강기기능사,Craftsman Elevator,기능사,Y,14/06/23,14/06/23,Y,현재시행
표구기능사,Craftsman Wall Paper,기능사,Y,14/06/23,14/06/23,N,폐지+유지
세탁기능사,Craftsman Laundry,기능사,Y,14/06/23,14/06/23,Y,현재시행
화약취급기능사,Craftsman Explosives Treatment,기능사,Y,14/06/23,14/06/23,Y,현재시행
준설선운전기능사,Craftsman Dredge Operator,기능사,Y,14/06/23,14/06/23,N,폐지+유지
쇄석기운전기능사,Craftsman Crusher Operator,기능사,Y,14/06/23,14/06/23,N,폐지
기어절삭기능사보,Assistant Craftsman Gear Cutting,기능사보,N,14/06/23,14/06/23,N,폐지+유지
농예화학기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
식물보호기능사2급,Craftsman Plant Protection,기능사,Y,14/06/23,14/06/23,N,폐지
수산식품가공기능사,Craftsman Auqatic Food Processing,기능사,Y,14/06/23,14/06/23,N,폐지
열관리기능사,Craftsman Heat Consumption Management,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(5류),,기능사,Y,14/06/23,14/06/23,N,폐지
농화학기능사,Craftsman Agricultural Chemistry,기능사,Y,14/06/23,14/06/23,N,폐지+유지
로더운전기능사,Craftsman Loader Operator,기능사,Y,14/06/23,14/06/23,Y,현재시행
누설비파괴검사기능사,Craftsman Leak Nondestructive Testing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
목공예기능사,Craftsman Wood Handicraft,기능사,Y,14/06/23,14/06/23,Y,현재시행
생사기능사,Craftsman Raw Silk,기능사,Y,14/06/23,14/06/23,N,폐지+유지
직기보전기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
축산기능사,Craftsman Livestock,기능사,Y,14/06/23,14/06/23,Y,현재시행
식육처리기능사,Craftsman Fabrication of Meats,기능사,Y,14/06/23,14/06/23,Y,현재시행
자동차검사기능사,Craftsman Motor Vehicles Inspection,기능사,Y,14/06/23,14/06/23,N,폐지
기중기운전기능사,Craftsman Crane Operator,기능사,Y,14/06/23,14/06/23,Y,현재시행
굴삭기운전기능사,Craftsman Excavating Machine Operator,기능사,Y,14/06/23,14/06/23,Y,현재시행
불도저운전기능사,Craftsman Bulldozer Operator,기능사,Y,14/06/23,14/06/23,Y,현재시행
식물보호기능사,Craftsman Plant Protection,기능사,Y,14/06/23,14/06/23,N,폐지+유지
목재가공기능사,Craftsman Woods Processing,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(6류),,기능사,Y,14/06/23,14/06/23,N,폐지
계량전기기능사,Craftsman Electrical Measuring,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(8류),,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(9류),,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(10류),,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(11류),,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(12류),,기능사,Y,14/06/23,14/06/23,N,폐지
계량기능사2급(13류),,기능사,Y,14/06/23,14/06/23,N,폐지
임산가공기능사,Craftsman Forest Product Processing,기능사,Y,14/06/23,14/06/23,N,폐지+유지
어로기능사,Craftsman Fishery,기능사,Y,14/06/23,14/06/23,N,폐지+유지
잠수기능사,Craftsman Diver,기능사,Y,14/06/23,14/06/23,Y,현재시행
